<number of tasks>
148
<cycle time>
129
<order strength>
0.000
<z_alpha>
1.645
<task times>
1 16 48.6302
2 30 111.9356
3 7 9.2079
4 47 354.5728
5 29 181.7453
6 8 5.0857
7 39 365.7209
8 37 316.4551
9 32 116.5569
10 29 151.7866
11 17 24.2728
12 11 2.0535
13 32 146.0499
14 15 15.0382
15 53 411.6279
16 53 668.0965
17 8 14.0227
18 24 108.6790
19 24 130.8451
20 8 9.5496
21 7 3.3350
22 8 3.4493
23 14 22.2490
24 13 11.6258
25 10 21.9212
26 25 138.3671
27 11 25.3404
28 25 40.1337
29 11 10.0127
30 29 81.7978
31 25 14.5579
32 10 17.5096
33 14 44.1841
34 41 39.2802
35 42 414.1019
36 47 350.6110
37 7 6.9481
38 80 568.7955
39 7 10.2742
40 41 90.1657
41 47 156.8794
42 16 19.9847
43 32 174.1664
44 66 531.7259
45 80 304.3712
46 7 9.6928
47 41 63.9799
48 13 33.5562
49 47 124.5796
50 33 218.4634
51 34 169.2319
52 11 3.7756
53 18 27.7544
54 25 147.3019
55 7 1.2276
56 28 155.4580
57 12 27.8922
58 52 255.2774
59 14 5.6034
60 3 0.7082
61 3 1.9859
62 8 10.1829
63 16 59.7691
64 33 151.9812
65 8 12.5541
66 18 69.4570
67 10 24.8928
68 14 25.0351
69 28 63.3322
70 11 26.4403
71 18 17.9065
72 25 3.5196
73 40 268.7718
74 40 324.5714
75 1 0.2220
76 5 4.0799
77 28 190.4179
78 8 9.6731
79 81 544.4426
80 7 11.9917
81 26 104.8759
82 10 22.2268
83 21 20.4010
84 26 161.3520
85 20 79.4537
86 21 91.3443
87 47 123.0713
88 23 86.9247
89 13 35.8696
90 19 49.1099
91 15 4.2239
92 35 208.9071
93 26 63.9730
94 46 273.5684
95 20 36.0909
96 31 124.8214
97 19 55.8281
98 34 146.1061
99 51 628.0359
100 39 260.2723
101 30 167.4549
102 26 127.6441
103 13 12.5696
104 45 300.6499
105 58 667.8862
106 28 127.4409
107 8 4.0580
108 83 272.9361
109 40 366.1182
110 34 44.4626
111 23 126.5050
112 62 268.6276
113 11 25.5107
114 19 29.2603
115 14 11.0079
116 31 158.2099
117 32 67.8661
118 26 77.2072
119 55 161.1839
120 31 195.1557
121 32 167.2437
122 26 86.9755
123 19 67.9604
124 14 10.0847
125 19 76.2415
126 48 12.4674
127 55 663.6558
128 8 10.9498
129 11 21.9363
130 27 86.3062
131 18 58.9922
132 36 225.4673
133 23 99.8426
134 20 86.9382
135 46 499.8616
136 64 119.3185
137 22 112.4973
138 15 46.1842
139 34 60.7783
140 22 15.1274
141 51 99.0981
142 48 474.2147
143 64 595.8792
144 70 505.4256
145 37 102.7117
146 64 952.3613
147 78 4.1396
148 78 237.7139
<precedence relations>
1,5
1,6
1,7
1,8
2,3
3,4
3,5
3,6
3,7
4,8
5,14
6,9
7,14
8,10
9,14
10,14
11,12
12,13
14,15
14,16
15,17
16,17
17,18
17,19
18,20
19,20
20,21
20,22
20,23
20,24
21,25
21,26
21,27
21,28
22,25
22,26
22,27
22,28
23,25
23,26
23,27
23,28
24,25
24,26
24,27
24,28
25,29
26,29
27,29
28,29
29,31
31,36
32,34
33,35
34,36
35,36
36,37
37,38
37,45
38,39
39,40
40,41
40,48
40,54
42,43
43,44
45,46
46,47
47,48
47,49
47,54
50,51
51,53
51,69
52,53
54,55
54,72
54,76
54,89
54,90
55,133
56,73
57,82
58,86
58,88
59,75
59,89
61,62
62,63
63,67
64,65
64,71
64,72
65,66
65,99
66,67
67,68
68,95
68,98
69,79
70,71
72,134
73,86
73,88
73,89
73,90
73,96
74,75
75,90
75,97
76,77
77,78
78,82
79,80
79,85
79,143
79,146
80,81
81,82
82,83
83,84
84,106
86,87
90,111
91,105
92,135
95,101
96,104
98,101
99,100
100,101
101,102
101,103
102,127
103,127
105,119
106,107
107,108
108,109
109,110
111,112
112,113
113,114
113,116
113,120
113,123
113,128
114,115
115,125
116,117
117,118
118,126
120,121
121,122
122,126
123,124
124,125
128,129
129,130
130,131
130,137
132,135
133,135
134,135
135,136
138,139
139,140
141,142
142,143
142,146
142,147
142,148
144,145
145,147
145,148
<end>
