<number of tasks>
148
<cycle time>
626
<order strength>
0.000
<z_alpha>
1.645
<task times>
1 16 3.1933
2 30 51.7210
3 7 2.9324
4 47 135.7218
5 29 44.9977
6 8 2.4703
7 39 16.3783
8 37 71.5461
9 32 61.1336
10 29 37.1843
11 17 14.2209
12 11 5.4460
13 32 8.2057
14 15 9.0692
15 53 66.7034
16 53 41.0637
17 8 3.0827
18 24 21.8797
19 24 1.9398
20 8 1.2304
21 7 0.1345
22 8 2.0630
23 14 2.8784
24 13 8.8881
25 10 0.9055
26 25 6.7968
27 11 0.1630
28 25 5.5824
29 11 4.7673
30 29 37.5910
31 25 18.7013
32 10 3.8372
33 14 6.8747
34 41 4.7800
35 42 30.1311
36 47 124.2574
37 7 0.4838
38 80 112.7135
39 7 1.1850
40 41 67.7307
41 47 4.2058
42 16 12.6547
43 32 15.8294
44 66 61.2924
45 80 365.3575
46 7 1.9901
47 41 40.2753
48 13 9.2251
49 47 56.0608
50 33 57.3667
51 34 64.0728
52 11 3.0857
53 118 552.2710
54 25 26.6605
55 7 2.8511
56 28 41.0717
57 12 2.8258
58 52 7.3534
59 14 0.6481
60 3 0.2124
61 3 0.1596
62 8 1.0239
63 16 9.0901
64 33 52.5895
65 8 1.2124
66 18 18.2917
67 10 3.5967
68 14 8.7255
69 28 32.0559
70 11 6.0656
71 118 827.2321
72 25 30.7398
73 40 78.1617
74 40 44.5224
75 101 613.2300
76 5 1.1698
77 28 27.7426
78 8 0.8434
79 281 412.9834
80 7 2.6077
81 26 13.2832
82 10 6.1949
83 21 14.9708
84 26 29.8402
85 20 0.3190
86 21 9.2927
87 47 46.0265
88 23 10.4315
89 13 6.1952
90 19 14.9234
91 115 510.3598
92 35 66.3377
93 26 22.5386
94 46 19.9840
95 20 14.3795
96 31 13.9344
97 19 5.6673
98 34 57.1843
99 51 160.7598
100 39 43.1548
101 30 12.3911
102 26 2.2232
103 13 5.3934
104 45 105.0193
105 58 184.2121
106 28 35.2378
107 8 3.5454
108 383 2321.2516
109 40 87.5778
110 34 33.7771
111 23 0.1526
112 162 634.0464
113 11 2.9210
114 19 11.6639
115 14 0.1993
116 31 50.0327
117 32 15.3529
118 26 36.7300
119 55 20.7961
120 31 36.1870
121 32 16.7102
122 26 30.9339
123 19 3.6075
124 14 0.0888
125 19 19.4822
126 48 114.8696
127 55 126.1566
128 8 0.7674
129 11 5.8407
130 27 24.2965
131 18 16.8311
132 36 77.9385
133 23 25.3085
134 20 17.1970
135 46 57.0030
136 64 103.9961
137 22 29.4104
138 15 0.2563
139 34 70.6804
140 22 18.6562
141 151 1226.5262
142 148 488.6604
143 64 239.0410
144 170 694.7242
145 137 92.7810
146 64 187.8314
147 78 316.5335
148 78 132.4563
<precedence relations>
1,5
1,6
1,7
1,8
2,3
3,4
3,5
3,6
3,7
4,8
5,14
6,9
7,14
8,10
9,14
10,14
11,12
12,13
14,15
14,16
15,17
16,17
17,18
17,19
18,20
19,20
20,21
20,22
20,23
20,24
21,25
21,26
21,27
21,28
22,25
22,26
22,27
22,28
23,25
23,26
23,27
23,28
24,25
24,26
24,27
24,28
25,29
26,29
27,29
28,29
29,31
31,36
32,34
33,35
34,36
35,36
36,37
37,38
37,45
38,39
39,40
40,41
40,48
40,54
42,43
43,44
45,46
46,47
47,48
47,49
47,54
50,51
51,53
51,69
52,53
54,55
54,72
54,76
54,89
54,90
55,133
56,73
57,82
58,86
58,88
59,75
59,89
61,62
62,63
63,67
64,65
64,71
64,72
65,66
65,99
66,67
67,68
68,95
68,98
69,79
70,71
72,134
73,86
73,88
73,89
73,90
73,96
74,75
75,90
75,97
76,77
77,78
78,82
79,80
79,85
79,143
79,146
80,81
81,82
82,83
83,84
84,106
86,87
90,111
91,105
92,135
95,101
96,104
98,101
99,100
100,101
101,102
101,103
102,127
103,127
105,119
106,107
107,108
108,109
109,110
111,112
112,113
113,114
113,116
113,120
113,123
113,128
114,115
115,125
116,117
117,118
118,126
120,121
121,122
122,126
123,124
124,125
128,129
129,130
130,131
130,137
132,135
133,135
134,135
135,136
138,139
139,140
141,142
142,143
142,146
142,147
142,148
144,145
145,147
145,148
<end>
