<number of tasks>
297
<cycle time>
2111
<order strength>
0.000
<z_alpha>
1.960
<task times>
1 270 672.4453
2 270 3170.8151
3 130 890.3587
4 148 919.1319
5 190 660.0894
6 293 1723.9494
7 348 1409.5788
8 182 1425.5734
9 490 2884.2967
10 212 2044.0067
11 248 1491.2206
12 248 2419.3497
13 248 229.7591
14 248 1065.7236
15 248 2083.8013
16 268 1713.2994
17 268 2974.7203
18 268 2131.1543
19 288 2261.3792
20 248 2804.2653
21 268 2416.6185
22 60 39.3273
23 268 2103.9367
24 240 2213.8793
25 240 2120.0478
26 171 695.6339
27 490 13521.0383
28 182 1286.0733
29 170 1534.0528
30 306 4877.6296
31 108 471.7399
32 248 1204.5109
33 190 435.1473
34 240 563.2846
35 339 4695.8151
36 288 1346.9118
37 248 1477.8789
38 455 10391.7457
39 268 2332.6347
40 270 3506.8624
41 180 849.9332
42 121 784.4382
43 270 3806.1448
44 440 3880.0989
45 249 1805.4117
46 194 1263.7146
47 162 1628.9438
48 130 56.1536
49 388 8456.4769
50 90 154.9227
51 212 2457.5814
52 246 82.6436
53 188 972.7789
54 270 1547.7414
55 160 352.1651
56 79 282.8532
57 466 2583.4883
58 240 770.7968
59 137 974.6288
60 184 383.3610
61 110 375.7535
62 275 1779.8066
63 149 671.1447
64 280 936.0977
65 119 232.8245
66 184 984.3663
67 140 100.2519
68 150 142.7144
69 190 1575.8486
70 150 579.9750
71 150 909.3319
72 284 460.5569
73 192 924.4433
74 347 584.6614
75 232 1144.8093
76 140 1085.3741
77 608 3742.9159
78 80 32.4584
79 40 19.5051
80 130 1045.9861
81 110 285.4535
82 350 2116.3321
83 140 1124.8510
84 240 2109.3613
85 240 1792.7603
86 90 362.9032
87 54 110.6086
88 294 4191.5050
89 203 1212.0375
90 150 1096.5523
91 270 589.8767
92 155 526.7425
93 190 12.0734
94 78 341.0836
95 140 673.4953
96 241 2148.4188
97 430 1080.4434
98 90 427.3649
99 110 307.2759
100 9 3.7800
101 430 6865.9362
102 130 838.7990
103 289 5011.0604
104 110 150.1920
105 160 662.8606
106 442 3951.7043
107 159 651.7605
108 250 805.2747
109 190 1900.7563
110 184 1495.5044
111 690 20630.1012
112 72 216.2352
113 190 1735.4565
114 190 1540.8186
115 90 162.2362
116 889 10179.5573
117 170 812.6956
118 155 1015.0746
119 190 2112.9305
120 130 448.0658
121 390 1802.0482
122 301 572.2246
123 54 75.5162
124 227 3107.7005
125 142 353.5273
126 184 546.7110
127 741 29736.0272
128 868 23729.4917
129 230 2311.5239
130 121 36.6548
131 320 2042.0347
132 126 221.5239
133 440 11877.9767
134 127 37.8725
135 134 245.3965
136 150 592.6877
137 140 350.3257
138 110 135.6402
139 320 5624.1254
140 250 1296.0995
141 232 1627.5589
142 188 1638.3251
143 250 145.1581
144 377 8551.3625
145 90 495.7457
146 140 207.5183
147 90 278.1874
148 90 379.4022
149 70 276.6930
150 90 143.7934
151 110 234.7271
152 150 1312.6891
153 101 145.7192
154 377 7943.7904
155 118 851.1673
156 290 1345.2558
157 209 16.8854
158 150 525.0819
159 150 1167.3143
160 79 17.8803
161 150 1394.8143
162 91 40.4473
163 59 149.5014
164 218 1124.2002
165 351 856.6772
166 873 32528.6928
167 130 885.5423
168 68 205.6460
169 126 295.4295
170 120 717.9779
171 227 1701.8039
172 198 536.8742
173 132 876.9881
174 121 14.1965
175 150 788.5605
176 100 185.2518
177 38 14.8639
178 70 241.2676
179 355 5432.3725
180 284 4371.6123
181 122 299.2305
182 75 320.6313
183 160 876.8864
184 140 942.1464
185 520 13258.8445
186 99 175.2203
187 182 1719.2066
188 80 20.5179
189 514 8494.8249
190 96 128.9706
191 50 9.7576
192 272 585.2675
193 226 974.8762
194 194 1349.5011
195 164 855.7180
196 96 271.3163
197 107 696.5035
198 108 711.5748
199 167 1580.3881
200 98 531.5801
201 82 385.1847
202 482 9203.7094
203 72 30.7582
204 50 52.8055
205 130 764.4261
206 230 1554.7910
207 50 73.2108
208 240 3536.6980
209 190 1571.4062
210 190 2007.3497
211 240 409.2691
212 74 154.4159
213 139 166.4741
214 339 2107.7315
215 260 1361.9461
216 132 771.0058
217 550 18487.3079
218 420 5793.9452
219 152 160.4441
220 12 0.4804
221 90 281.2976
222 5 0.3481
223 128 582.3950
224 100 500.8790
225 120 326.1712
226 100 461.1734
227 320 265.0014
228 835 27830.8775
229 740 16575.3006
230 223 2646.6608
231 100 438.1701
232 390 959.8273
233 140 725.8495
234 304 2258.9866
235 120 761.3549
236 403 4727.0624
237 21 14.2531
238 246 2493.0839
239 160 1040.5935
240 1019 32017.9740
241 34 0.2130
242 120 126.8470
243 68 39.2369
244 910 28339.0331
245 302 2043.3059
246 778 13749.6906
247 101 297.4407
248 1310 59558.5119
249 20 6.5721
250 278 3757.0494
251 81 358.7416
252 290 5175.7341
253 100 432.6587
254 372 7885.1253
255 72 43.3070
256 28 41.8246
257 90 30.1844
258 250 117.9553
259 144 1220.4078
260 303 955.3882
261 220 2548.0658
262 58 13.1877
263 224 757.5096
264 211 1987.9420
265 99 127.7820
266 44 86.6090
267 120 371.8609
268 70 301.9487
269 421 2356.0030
270 231 1593.7214
271 214 2507.9826
272 196 1224.5351
273 280 4241.5797
274 398 7430.8940
275 72 165.8564
276 280 2813.0508
277 356 1760.9185
278 193 975.5890
279 140 1116.2644
280 130 234.0323
281 300 2089.8978
282 456 12125.6506
283 7 1.7816
284 170 1409.4492
285 252 2046.7146
286 210 2283.5640
287 308 554.6749
288 308 56.2143
289 121 115.8999
290 52 57.1779
291 426 9117.9890
292 104 536.1465
293 1386 66533.5292
294 527 7917.0920
295 968 32972.0582
296 1047 33908.0888
297 538 796.8298
<precedence relations>
1,2
2,3
3,4
4,5
4,22
4,26
4,27
4,40
4,48
4,56
4,83
4,86
4,94
4,105
4,109
4,111
4,134
4,221
4,247
4,259
5,6
6,7
6,8
6,9
6,10
7,11
7,12
7,13
7,14
7,15
7,20
8,11
8,12
8,13
8,14
8,15
8,20
9,11
9,12
9,13
9,14
9,15
9,20
10,11
10,12
10,13
10,14
10,15
10,20
11,16
12,17
13,18
14,19
15,21
16,23
17,23
18,23
19,23
20,23
21,23
22,24
22,25
23,28
24,29
25,29
26,30
27,31
28,32
28,37
29,33
29,44
29,121
30,34
30,297
31,34
31,82
31,172
31,179
32,36
33,38
34,35
35,42
36,39
37,39
38,41
39,43
40,44
40,84
40,97
41,45
42,46
43,47
44,49
45,50
46,51
46,138
47,52
48,52
49,53
50,54
51,55
51,81
52,57
53,58
54,58
54,296
55,59
56,60
56,61
57,62
57,63
57,71
57,76
58,64
59,64
59,99
59,100
60,68
61,65
62,66
63,67
64,72
65,69
66,69
67,70
68,73
69,74
70,75
71,77
72,78
73,84
73,97
74,84
74,97
75,84
75,97
76,84
76,97
77,84
77,97
78,79
78,80
78,125
78,192
79,85
80,85
81,87
82,88
82,89
83,90
84,91
85,92
86,93
87,99
87,100
88,99
88,100
89,99
89,100
90,95
91,96
92,98
93,98
94,101
95,101
96,101
97,101
98,102
99,103
100,104
101,106
102,107
103,108
104,108
105,110
106,112
107,113
108,114
108,115
108,292
109,119
109,120
110,119
110,120
110,162
111,116
112,117
113,118
114,119
115,120
116,122
117,123
117,124
117,257
118,126
119,127
120,127
120,150
121,128
122,129
123,130
123,145
123,146
123,147
123,148
123,149
124,130
125,130
126,130
127,130
127,157
128,130
129,130
129,141
130,131
130,144
131,132
131,133
132,135
133,135
133,170
134,136
135,137
136,139
137,140
138,140
138,191
139,142
139,253
140,143
140,200
141,151
142,152
143,153
143,169
144,154
145,155
146,156
147,158
148,159
149,160
150,161
151,163
152,164
153,165
154,166
155,166
156,166
157,166
158,166
159,166
160,166
161,166
162,167
163,166
164,167
165,168
165,176
166,170
167,171
168,173
169,174
170,174
171,174
172,175
173,177
174,178
174,287
174,288
175,180
176,181
177,181
178,181
179,181
180,181
180,252
181,182
181,183
181,184
181,185
181,186
181,187
181,188
